"No.","Time","Source","Destination","Protocol","Length","Frame length on the wire","Info"
"23","0.274035","131.175.119.97","172.17.0.9","TCP","66","66","443  >  38882 [ACK] Seq=4190 Ack=411 Win=64768 Len=0 TSval=2369291536 TSecr=2960838070"
"24","0.274045","172.17.0.9","131.175.119.97","TLSv1.3","307","307","Application Data, Application Data"
"25","0.275589","131.175.119.97","172.17.0.9","TCP","66","66","443  >  38882 [ACK] Seq=4190 Ack=652 Win=64640 Len=0 TSval=2369291538 TSecr=2960838072"
"26","0.275783","131.175.119.97","172.17.0.9","TLSv1.3","305","305","Application Data"
"27","0.276238","131.175.119.97","172.17.0.9","TLSv1.3","305","305","Application Data"
"28","0.276270","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=4668 Win=42496 Len=0 TSval=2960838074 TSecr=2369291538"
"29","0.450977","131.175.119.97","172.17.0.9","TLSv1.3","544","544","Application Data"
"30","0.468611","02:42:ac:11:00:02","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.2"
"31","0.494005","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=5146 Win=42496 Len=0 TSval=2960838292 TSecr=2369291713"
"32","0.569909","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"33","0.569930","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=6568 Win=42496 Len=0 TSval=2960838368 TSecr=2369291832"
"34","0.569995","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"35","0.570003","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=8016 Win=41984 Len=0 TSval=2960838368 TSecr=2369291832"
"36","0.570004","131.175.119.97","172.17.0.9","TLSv1.3","1462","1462","Application Data"
"37","0.570008","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=9412 Win=40960 Len=0 TSval=2960838368 TSecr=2369291832"
"38","0.570009","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"39","0.570012","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=10860 Win=39936 Len=0 TSval=2960838368 TSecr=2369291832"
"40","0.570055","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"41","0.570059","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=12308 Win=38912 Len=0 TSval=2960838368 TSecr=2369291832"
"42","0.570101","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"43","0.570105","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=13756 Win=37888 Len=0 TSval=2960838368 TSecr=2369291832"
"44","0.570106","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"45","0.570109","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"46","0.570112","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"47","0.570451","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=18100 Win=35328 Len=0 TSval=2960838368 TSecr=2369291832"
"48","0.572692","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"49","0.572705","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"50","0.572711","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=20996 Win=41984 Len=0 TSval=2960838371 TSecr=2369291833"
"51","0.572716","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data, Application Data, Application Data"
"52","0.572719","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"53","0.572721","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"54","0.572724","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"55","0.572726","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"56","0.572728","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"57","0.572730","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"58","0.572733","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"59","0.572735","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"60","0.572739","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"61","0.572793","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=35476 Win=32256 Len=0 TSval=2960838371 TSecr=2369291834"
"62","0.574479","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"63","0.574490","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data, Application Data, Application Data"
"64","0.574496","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=38372 Win=41984 Len=0 TSval=2960838372 TSecr=2369291836"
"65","0.574498","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"66","0.574501","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"67","0.574503","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"68","0.574506","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"69","0.574508","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"70","0.574510","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"71","0.574513","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"72","0.574515","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"73","0.574517","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"74","0.574519","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"75","0.574521","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data, Application Data, Application Data"
"76","0.574525","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"77","0.574527","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"78","0.574530","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"79","0.574532","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"80","0.574565","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=60092 Win=42496 Len=0 TSval=2960838373 TSecr=2369291836"
"81","0.575138","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"82","0.575144","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=61540 Win=45568 Len=0 TSval=2960838373 TSecr=2369291837"
"83","0.575146","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"84","0.575151","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=62988 Win=48128 Len=0 TSval=2960838373 TSecr=2369291837"
"85","0.576818","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"86","0.576824","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=64436 Win=51200 Len=0 TSval=2960838375 TSecr=2369291839"
"87","0.576942","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"88","0.576947","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=65884 Win=54272 Len=0 TSval=2960838375 TSecr=2369291839"
"89","0.576949","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"90","0.576952","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=67332 Win=56832 Len=0 TSval=2960838375 TSecr=2369291839"
"91","0.576953","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"92","0.576956","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=68780 Win=59904 Len=0 TSval=2960838375 TSecr=2369291839"
"93","0.576958","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data"
"94","0.576961","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=70228 Win=62976 Len=0 TSval=2960838375 TSecr=2369291839"
"95","0.576962","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Application Data, Application Data, Application Data"
"96","0.576965","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=71676 Win=65536 Len=0 TSval=2960838375 TSecr=2369291839"
"97","0.576967","131.175.119.97","172.17.0.9","TLSv1.3","598","598","Application Data"
"98","0.576970","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=72208 Win=68608 Len=0 TSval=2960838375 TSecr=2369291839"
"99","0.688795","02:42:ac:11:00:0a","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.10"
"100","0.695210","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"101","0.695220","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=73630 Win=71680 Len=0 TSval=2960838493 TSecr=2369291957"
"102","0.784190","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"103","0.784196","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=75052 Win=74240 Len=0 TSval=2960838582 TSecr=2369292047"
"104","0.811100","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"105","0.811109","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=76474 Win=77312 Len=0 TSval=2960838609 TSecr=2369292073"
"106","0.919270","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"107","0.919274","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=77896 Win=80384 Len=0 TSval=2960838717 TSecr=2369292181"
"108","0.998226","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"109","0.998235","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=79318 Win=82944 Len=0 TSval=2960838796 TSecr=2369292260"
"110","1.052907","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"111","1.052915","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=80740 Win=86016 Len=0 TSval=2960838851 TSecr=2369292315"
"112","1.133440","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"113","1.133449","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=82162 Win=89088 Len=0 TSval=2960838931 TSecr=2369292395"
"114","1.238972","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"115","1.238979","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=83584 Win=91648 Len=0 TSval=2960839037 TSecr=2369292501"
"116","1.273589","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"117","1.273598","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=85006 Win=94720 Len=0 TSval=2960839072 TSecr=2369292536"
"118","1.373943","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"119","1.373953","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=86428 Win=97280 Len=0 TSval=2960839172 TSecr=2369292636"
"120","1.453914","131.175.119.97","172.17.0.9","TLSv1.3","288","288","Application Data"
"121","1.453924","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=86650 Win=100352 Len=0 TSval=2960839252 TSecr=2369292716"
"122","1.453933","131.175.119.97","172.17.0.9","TLSv1.3","1311","1311","Application Data, Application Data"
"123","1.453939","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=87895 Win=103424 Len=0 TSval=2960839252 TSecr=2369292716"
"124","1.535571","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"125","1.535581","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=89317 Win=105984 Len=0 TSval=2960839334 TSecr=2369292798"
"126","1.595283","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"127","1.595292","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=90739 Win=109056 Len=0 TSval=2960839393 TSecr=2369292857"
"128","1.642905","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"129","1.642914","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=92161 Win=112128 Len=0 TSval=2960839441 TSecr=2369292905"
"130","1.776576","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"131","1.776580","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=93583 Win=114688 Len=0 TSval=2960839575 TSecr=2369293038"
"132","1.822219","02:42:ac:11:00:0b","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.11"
"133","1.860251","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"134","1.860256","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=95005 Win=117760 Len=0 TSval=2960839658 TSecr=2369293122"
"135","1.880892","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"136","1.880897","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=96427 Win=120832 Len=0 TSval=2960839679 TSecr=2369293143"
"137","1.960044","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"138","1.960050","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=97849 Win=123392 Len=0 TSval=2960839758 TSecr=2369293222"
"139","2.062000","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"140","2.062002","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=99271 Win=126464 Len=0 TSval=2960839860 TSecr=2369293324"
"141","2.144138","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"142","2.144140","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=100693 Win=129536 Len=0 TSval=2960839942 TSecr=2369293406"
"143","2.204726","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"144","2.204730","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=102115 Win=132096 Len=0 TSval=2960840003 TSecr=2369293467"
"145","2.285367","131.175.119.97","172.17.0.9","TLSv1.3","888","888","Application Data"
"146","2.285371","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=102937 Win=135168 Len=0 TSval=2960840083 TSecr=2369293548"
"147","2.285946","131.175.119.97","172.17.0.9","TLSv1.3","711","711","Application Data, Application Data"
"148","2.285950","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=103582 Win=137728 Len=0 TSval=2960840084 TSecr=2369293548"
"149","2.389607","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"150","2.389609","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=105004 Win=140800 Len=0 TSval=2960840188 TSecr=2369293651"
"151","2.465339","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"152","2.465343","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=106426 Win=143872 Len=0 TSval=2960840263 TSecr=2369293727"
"153","2.525277","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"154","2.525282","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=107848 Win=146432 Len=0 TSval=2960840323 TSecr=2369293787"
"155","2.606407","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"156","2.606411","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=109270 Win=149504 Len=0 TSval=2960840404 TSecr=2369293868"
"157","2.708942","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"158","2.708947","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=110692 Win=152576 Len=0 TSval=2960840507 TSecr=2369293971"
"159","2.741723","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"160","2.741727","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=112114 Win=155136 Len=0 TSval=2960840540 TSecr=2369294004"
"161","2.844234","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"162","2.844244","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=113536 Win=158208 Len=0 TSval=2960840642 TSecr=2369294106"
"163","2.926437","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"164","2.926440","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=114958 Win=161280 Len=0 TSval=2960840724 TSecr=2369294188"
"165","2.962965","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"166","2.962972","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=116380 Win=163840 Len=0 TSval=2960840761 TSecr=2369294225"
"167","3.043517","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"168","3.043526","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=117802 Win=166912 Len=0 TSval=2960840841 TSecr=2369294305"
"169","3.142613","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"170","3.142616","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=119224 Win=169984 Len=0 TSval=2960840941 TSecr=2369294405"
"171","3.142619","131.175.119.97","172.17.0.9","TLSv1.3","89","89","Application Data"
"172","3.142698","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=119247 Win=169984 Len=0 TSval=2960840941 TSecr=2369294405"
"173","3.203842","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"174","3.203845","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=120669 Win=172544 Len=0 TSval=2960841002 TSecr=2369294466"
"175","3.285287","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"176","3.285293","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=122091 Win=175104 Len=0 TSval=2960841083 TSecr=2369294547"
"177","3.364661","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"178","3.405973","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=123513 Win=175104 Len=0 TSval=2960841204 TSecr=2369294626"
"179","3.467221","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"180","3.509976","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=124935 Win=175104 Len=0 TSval=2960841308 TSecr=2369294729"
"181","3.525634","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"182","3.565979","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=126357 Win=175104 Len=0 TSval=2960841364 TSecr=2369294788"
"183","3.605780","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"184","3.646023","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=127779 Win=175104 Len=0 TSval=2960841444 TSecr=2369294868"
"185","3.686579","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"186","3.729976","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=129201 Win=175104 Len=0 TSval=2960841528 TSecr=2369294949"
"187","3.767392","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"188","3.791099","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"189","3.791111","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=132045 Win=175104 Len=0 TSval=2960841589 TSecr=2369295029"
"190","3.894280","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"191","3.937974","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=133467 Win=175104 Len=0 TSval=2960841736 TSecr=2369295157"
"192","4.007827","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"193","4.050021","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=134889 Win=175104 Len=0 TSval=2960841848 TSecr=2369295270"
"194","4.051353","131.175.119.97","172.17.0.9","TLSv1.3","688","688","Application Data"
"195","4.051362","131.175.119.97","172.17.0.9","TLSv1.3","911","911","Application Data, Application Data"
"196","4.051369","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=136356 Win=175104 Len=0 TSval=2960841849 TSecr=2369295313"
"197","4.112569","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"198","4.153975","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=137778 Win=175104 Len=0 TSval=2960841952 TSecr=2369295374"
"199","4.217360","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"200","4.257978","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=139200 Win=175104 Len=0 TSval=2960842056 TSecr=2369295479"
"201","4.298243","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"202","4.341971","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=140622 Win=175104 Len=0 TSval=2960842140 TSecr=2369295560"
"203","4.379197","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"204","4.421982","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=142044 Win=175104 Len=0 TSval=2960842220 TSecr=2369295641"
"205","4.434533","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"206","4.477974","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=143466 Win=175104 Len=0 TSval=2960842276 TSecr=2369295696"
"207","4.539010","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"208","4.581974","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=144888 Win=175104 Len=0 TSval=2960842380 TSecr=2369295801"
"209","4.615074","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"210","4.658003","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=146310 Win=175104 Len=0 TSval=2960842456 TSecr=2369295877"
"211","4.694620","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"212","4.737977","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=147732 Win=175104 Len=0 TSval=2960842536 TSecr=2369295957"
"213","4.761047","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"214","4.801975","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=149154 Win=175104 Len=0 TSval=2960842600 TSecr=2369296023"
"215","4.834926","131.175.119.97","172.17.0.9","TLSv1.3","1488","1488","Application Data"
"216","4.877976","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=150576 Win=175104 Len=0 TSval=2960842676 TSecr=2369296097"
"217","4.892743","131.175.119.97","172.17.0.9","TLSv1.3","1288","1288","Application Data"
"218","4.892778","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=652 Ack=151798 Win=175104 Len=0 TSval=2960842691 TSecr=2369296155"
